rank,id,round,score,exact,under,over,extremeUnder,extremeOver,totalOnsets,parameters
37,r008-0029-26d9e498,8,96,4,3,3,1,0,129,"{""relativeReattackFactor"":3.100068,""relativeReattackMinDelta"":0.011868,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.448405,""spectralNoveltyMinBins"":38,""cooldownFrames"":5,""cooldownOverrideFactor"":3.025875,""cooldownOverrideMinFlux"":0.024471,""cooldownOverrideMinBandRatio"":0.068404,""analyzeIntervalMs"":41}"
38,r008-0047-ac5f0600,8,96,4,3,3,1,0,130,"{""relativeReattackFactor"":2.958453,""relativeReattackMinDelta"":0.0148,""relativeFluxFactor"":1.419612,""spectralNoveltyRatio"":2.689386,""spectralNoveltyMinBins"":38,""cooldownFrames"":5,""cooldownOverrideFactor"":2.411552,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.046109,""analyzeIntervalMs"":41}"
39,r008-0051-6d845aeb,8,96,4,3,3,1,0,130,"{""relativeReattackFactor"":3.022203,""relativeReattackMinDelta"":0.012451,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.79076,""spectralNoveltyMinBins"":38,""cooldownFrames"":5,""cooldownOverrideFactor"":3.126601,""cooldownOverrideMinFlux"":0.025574,""cooldownOverrideMinBandRatio"":0.0646,""analyzeIntervalMs"":41}"
40,r008-0073-3fe5e718,8,96,4,3,3,1,0,130,"{""relativeReattackFactor"":2.965537,""relativeReattackMinDelta"":0.014397,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.84742,""spectralNoveltyMinBins"":38,""cooldownFrames"":5,""cooldownOverrideFactor"":2.496381,""cooldownOverrideMinFlux"":0.028432,""cooldownOverrideMinBandRatio"":0.050774,""analyzeIntervalMs"":41}"
41,r008-0075-866757a1,8,96,4,3,3,1,0,130,"{""relativeReattackFactor"":3.043562,""relativeReattackMinDelta"":0.012823,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.649467,""spectralNoveltyMinBins"":38,""cooldownFrames"":5,""cooldownOverrideFactor"":2.800172,""cooldownOverrideMinFlux"":0.026728,""cooldownOverrideMinBandRatio"":0.071093,""analyzeIntervalMs"":41}"
42,r008-0079-cf3f3836,8,96,4,3,3,1,0,129,"{""relativeReattackFactor"":3.11013,""relativeReattackMinDelta"":0.012054,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.420457,""spectralNoveltyMinBins"":38,""cooldownFrames"":5,""cooldownOverrideFactor"":3.1207,""cooldownOverrideMinFlux"":0.024521,""cooldownOverrideMinBandRatio"":0.065763,""analyzeIntervalMs"":41}"
43,r008-0007-19b5c88c,8,94,4,3,4,1,0,131,"{""relativeReattackFactor"":2.830761,""relativeReattackMinDelta"":0.013938,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.61464,""spectralNoveltyMinBins"":38,""cooldownFrames"":5,""cooldownOverrideFactor"":2.390599,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.046504,""analyzeIntervalMs"":41}"
44,r008-0040-acc168a8,8,94,4,3,4,1,0,131,"{""relativeReattackFactor"":2.86457,""relativeReattackMinDelta"":0.012689,""relativeFluxFactor"":1.401852,""spectralNoveltyRatio"":2.472296,""spectralNoveltyMinBins"":38,""cooldownFrames"":5,""cooldownOverrideFactor"":2.834977,""cooldownOverrideMinFlux"":0.025026,""cooldownOverrideMinBandRatio"":0.068088,""analyzeIntervalMs"":41}"
45,r008-0068-f2d90aec,8,94,4,3,4,1,0,131,"{""relativeReattackFactor"":2.87108,""relativeReattackMinDelta"":0.01469,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.760406,""spectralNoveltyMinBins"":38,""cooldownFrames"":5,""cooldownOverrideFactor"":2.609325,""cooldownOverrideMinFlux"":0.02867,""cooldownOverrideMinBandRatio"":0.049021,""analyzeIntervalMs"":41}"
46,r009-0027-a9546a0b,9,94,4,3,4,1,0,131,"{""relativeReattackFactor"":2.862612,""relativeReattackMinDelta"":0.013969,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.481857,""spectralNoveltyMinBins"":38,""cooldownFrames"":5,""cooldownOverrideFactor"":2.378946,""cooldownOverrideMinFlux"":0.029996,""cooldownOverrideMinBandRatio"":0.048369,""analyzeIntervalMs"":41}"
